"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
1	17	56.5	41.7	61.6	1
2	41	57	23.5	65	1
3	30	70.6	1	72.3	1
4	53	0	40.9	61.2	0
5	18	50.8	0	81.7	1
6	47	11.3	19.6	49.3	0
7	57	2.1	0.4	54.2	1
8	4	2.7	0	57.3	1
9	59	0	0	51.3	1
10	17	60	0	58.3	0
11	50	62.3	45.8	84.9	1
12	16	26	0	65	1
13	7	34.8	0	52.9	1
14	26	77.6	35.2	80.3	1
15	57	85.6	59.6	93.5	1
16	40	68	32.6	78.3	1
17	18	21.5	0	40.3	1
18	37	0	47.9	54.7	0
19	30	68.9	44.3	98.5	1
20	6	15.3	0	60.9	1
21	28	27.1	36.2	84.5	0
22	49	8.4	14.4	75.7	0
23	19	56.9	44	110.5	1
24	4	87	53.8	146.1	1
25	50	81.1	49.4	87.5	1
26	53	31.6	37.8	75.2	0
27	60	0	17.2	55.9	0
28	54	55.7	21.6	70.4	1
29	40	68.9	29.8	81	1
30	28	0.3	0	43.6	1
31	58	31.6	8.6	50.5	1
32	55	29.8	57.5	65.4	0
33	19	62.4	33.9	90.6	1
34	10	23.6	0	61.3	1
35	52	53.3	36.6	76.6	1
36	6	38.9	0	70.5	1
37	37	32.7	26.6	70.5	1
38	19	62	53.4	90.1	1
39	40	0	14.4	79.6	0
40	39	19.3	3	48.7	1
41	4	18.8	0	56.5	1
42	9	75.1	37.4	104.9	1
43	48	79.4	43.1	86.5	1
44	8	0	0	68	1
45	27	80.3	41.5	99.6	1
46	55	22.9	16.3	57.5	1
47	41	51.9	27.6	89.6	1
48	51	57	53.9	99.8	1
49	9	57.7	9.6	65.6	1
50	40	42.6	34.7	60.8	1
51	44	83.3	68.4	97	1
52	24	7.6	9.4	67	0
53	6	68.5	32.4	92.6	1
54	56	0	0	49.2	1
55	33	75.3	58.2	91.7	1
56	29	23.3	55.7	92.5	0
57	49	20.8	30	77.2	0
58	54	80.3	49.1	77.1	0
59	57	5.3	29	78.6	0
60	24	82.4	53.2	104.5	1
61	52	63.8	34	67.6	1
62	39	26.6	7.3	55.8	1
63	9	40.7	0	57.5	1
64	56	1.5	1.6	59.5	0
65	55	12.4	34.9	53.3	0
66	19	80.1	57	109.2	1
67	27	89	44.6	82.8	0
68	41	0	14	62.4	0
69	9	64.4	3.1	78.6	1
70	32	43.3	50.8	78.3	0
71	55	69.3	54.8	105.7	1
72	39	63.2	52	81.2	1
73	12	27.6	0	31.8	1
74	57	87.6	62.4	100.2	1
75	13	29.4	27.2	97.4	1
76	31	0	0	58.8	1
77	42	37	45	77.2	0
78	36	72.3	40.6	86.1	1
79	46	62.4	38	93.9	1
80	55	88	60	96.5	1
81	22	17.9	0	75.2	1
82	5	35.5	0	88.5	1
83	51	0	19	49.5	0
84	6	19.8	0	55.8	1
85	26	34.5	26.8	79.7	1
86	14	74.6	28.7	101.9	1
87	24	75.4	32.8	87.1	1
88	27	23.4	0	39.6	1
89	29	0	1	45.7	0
90	27	44.3	19	63.4	1
91	12	0	0	45.2	1
92	5	4.5	0	63.6	1
93	15	22.2	4.1	75.5	1
94	10	13.4	0	60.4	1
95	38	81.1	43	94.7	1
96	50	74.6	52.3	99.5	1
97	59	78.2	46.6	90.8	1
98	32	10.7	7	70.7	1
99	5	1	0	105.4	1
100	15	70.2	9.3	80	1
