"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
1	17	56.5	41.5	61.4	1
2	20	5.2	0	57.5	1
3	6	1	0	72.2	1
4	22	64	49	77.4	1
5	10	54.8	28.2	115.5	1
6	16	53.3	33.2	110.1	1
7	32	78.1	59.1	113.9	1
8	20	34.7	4.6	79.6	1
9	33	58.7	29.1	83.5	1
10	29	32.5	39.7	79.5	0
11	27	28.1	5.6	72.2	1
12	6	77.5	40.4	144.8	1
13	21	62.2	33.1	85.1	1
14	15	50.7	0	46.1	0
15	7	6.1	0	91	1
16	5	62.6	20.4	121	1
17	34	54.2	27.7	81.2	1
18	29	61.7	39	86.8	1
19	18	0	0	63.2	1
20	28	17.6	13.4	75.4	1
21	4	15.7	0	57.1	1
22	6	42.5	0	38.1	0
23	39	0	22.6	79.7	0
24	26	71.1	34.9	89.6	1
25	26	0	30.1	67	0
26	26	0	0	46.3	1
27	34	58.5	37.7	74.3	1
28	37	69.3	22.5	85.2	1
29	10	56.8	11.7	110.6	1
30	24	43.2	8.3	79.4	1
31	26	71.4	22.4	81.6	1
32	9	35.9	0	45	1
33	9	64.9	12.9	90.6	1
34	9	80.7	60.2	112.3	1
35	16	86.9	58.6	114.2	1
36	6	59.2	0	64.9	1
37	33	39.8	31.2	87.9	1
38	26	78.3	14.6	69.9	0
39	29	45.2	22	78.3	1
40	10	13	0	48	1
41	32	67.5	24.6	73.1	1
42	40	35.8	30	69.8	1
43	27	58.8	0.3	44.8	0
44	25	55.6	17.9	94.2	1
45	8	8.3	0	80	1
46	11	82.4	45.7	116.9	1
47	9	24.1	0	51.3	1
48	16	7.8	11.6	37.3	0
49	19	0	0	53	1
50	5	28.3	0	46.4	1
51	29	30	0.4	51.5	1
52	35	30.6	0	51.9	1
53	30	61.4	45.8	77.2	1
54	26	27.1	30.9	94.6	0
55	30	0	28	54.9	0
56	11	44.4	0	75.3	1
57	18	15.1	0	70.3	1
58	24	46.7	10.9	75.6	1
59	26	80.7	67.3	125.6	1
60	40	34.2	38.5	79.6	0
61	19	87.9	77.7	133.3	1
62	6	47	7.9	103	1
63	21	14.9	0	58.1	1
64	24	22.9	47.2	89.2	0
65	12	35.1	0	74.2	1
66	39	84.3	41.7	80.3	0
67	19	65.4	36.4	76.7	1
68	33	30.9	17.1	60.4	1
69	19	81.8	47.8	99.7	1
70	28	46.6	17.5	83.6	1
71	30	47.4	0	41.5	0
72	40	0	0	52.6	1
73	14	57.1	0	69.8	1
74	30	19.9	13.4	52.4	1
75	9	0	0	92.1	1
76	19	34.7	21.9	54.1	1
77	16	14.1	0	63.9	1
78	10	14.6	13	91.7	1
79	31	24.4	41.1	67.3	0
80	21	51	35.3	92.8	1
81	38	64.4	26.6	80.2	1
82	34	34.3	26.8	74	1
83	8	0	43.5	99.8	0
84	7	35.4	0	78.6	1
85	33	13.9	51.9	79.2	0
86	17	38.9	22.5	99	1
87	25	26.6	9.7	76.4	1
88	17	44.9	0	85	1
89	10	49.9	0	82.3	1
90	39	35.6	63	80.3	0
91	39	56.5	45.8	100.3	1
92	33	33.9	19.1	59.6	1
93	35	26.7	33.8	50	0
94	21	8.6	5.3	57	1
95	15	18	0	62.6	1
96	7	57.3	0	77.8	1
97	27	38.8	0	60.1	1
98	6	50	0	49.3	0
99	35	56.1	25.2	80.1	1
100	23	0	0	42.6	1
